date,adj_close,close,high,low,open,volume,ticker
2010-01-04,85.2791976928711,113.33000183105469,113.38999938964844,111.51000213623047,112.37000274658203,118944600,SPY
2010-01-05,85.50496673583984,113.62999725341797,113.68000030517578,112.8499984741211,113.26000213623047,111579900,SPY
2010-01-06,85.56514739990234,113.70999908447266,113.98999786376953,113.43000030517578,113.5199966430664,116074400,SPY
2010-01-07,85.92634582519531,114.19000244140625,114.33000183105469,113.18000030517578,113.5,131091100,SPY
2010-01-08,86.21227264404297,114.56999969482422,114.62000274658203,113.66000366210938,113.88999938964844,126402800,SPY
2010-01-11,86.3326644897461,114.7300033569336,115.12999725341797,114.23999786376953,115.08000183105469,106375700,SPY
2010-01-12,85.52754211425781,113.66000366210938,114.20999908447266,113.22000122070312,113.97000122070312,163333500,SPY
2010-01-13,86.24991607666016,114.62000274658203,114.94000244140625,113.37000274658203,113.94999694824219,161822000,SPY
2010-01-14,86.48320007324219,114.93000030517578,115.13999938964844,114.41999816894531,114.48999786376953,115718800,SPY
2010-01-15,85.51244354248047,113.63999938964844,114.83999633789062,113.19999694824219,114.7300033569336,212283100,SPY
2010-01-19,86.58100128173828,115.05999755859375,115.12999725341797,113.58999633789062,113.62000274658203,139172700,SPY
2010-01-20,85.70060729980469,113.88999938964844,114.44999694824219,112.9800033569336,114.27999877929688,216490200,SPY
2010-01-21,84.05261993408203,111.69999694824219,114.2699966430664,111.55999755859375,113.91999816894531,344859600,SPY
2010-01-22,82.17896270751953,109.20999908447266,111.73999786376953,109.08999633789062,111.19999694824219,345942400,SPY
2010-01-25,82.6003189086914,109.7699966430664,110.41000366210938,109.41000366210938,110.20999908447266,186937500,SPY
2010-01-26,82.25420379638672,109.30999755859375,110.47000122070312,109.04000091552734,109.33999633789062,211168800,SPY
2010-01-27,82.6455307006836,109.83000183105469,110.08000183105469,108.33000183105469,109.16999816894531,271863600,SPY
2010-01-28,81.69735717773438,108.56999969482422,110.25,107.91000366210938,110.19000244140625,316104000,SPY
2010-01-29,80.80941009521484,107.38999938964844,109.80000305175781,107.22000122070312,109.04000091552734,310677600,SPY
2010-02-01,82.0660629272461,109.05999755859375,109.06999969482422,107.5,108.1500015258789,187865000,SPY
2010-02-02,83.05935668945312,110.37999725341797,110.58999633789062,108.87999725341797,109.26000213623047,216327900,SPY
2010-02-03,82.6455307006836,109.83000183105469,110.4800033569336,109.51000213623047,109.87999725341797,172730700,SPY
2010-02-04,80.09459686279297,106.44000244140625,109.02999877929688,106.41999816894531,108.9800033569336,356715700,SPY
2010-02-05,80.26011657714844,106.66000366210938,106.87999725341797,104.58000183105469,106.55999755859375,493585800,SPY
2010-02-08,79.68072509765625,105.88999938964844,107.33000183105469,105.80999755859375,106.73999786376953,224166900,SPY
2010-02-09,80.68151092529297,107.22000122070312,108.1500015258789,106.2699966430664,107.12999725341797,337820500,SPY
2010-02-10,80.52349090576172,107.01000213623047,107.5999984741211,106.11000061035156,107.05000305175781,240511500,SPY
2010-02-11,81.3663101196289,108.12999725341797,108.25,106.25,106.87000274658203,223591600,SPY
2010-02-12,81.29859161376953,108.04000091552734,108.0999984741211,106.51000213623047,106.98999786376953,304622100,SPY
2010-02-16,82.57780456542969,109.73999786376953,109.8499984741211,107.81999969482422,108.86000061035156,159317500,SPY
2010-02-17,82.96906280517578,110.26000213623047,110.41000366210938,109.73999786376953,110.2699966430664,168845100,SPY
2010-02-18,83.45818328857422,110.91000366210938,111.13999938964844,110.04000091552734,110.08000183105469,193708600,SPY
2010-02-19,83.6312484741211,111.13999938964844,111.56999969482422,110.36000061035156,110.62000274658203,222684900,SPY
2010-02-22,83.64631652832031,111.16000366210938,111.58000183105469,110.83000183105469,111.55000305175781,132346900,SPY
2010-02-23,82.63046264648438,109.80999755859375,111.19999694824219,109.5199966430664,110.86000061035156,207497000,SPY
2010-02-24,83.39049530029297,110.81999969482422,111.0,109.86000061035156,110.13999938964844,176350700,SPY
2010-02-25,83.277587890625,110.66999816894531,110.75,108.94000244140625,109.23999786376953,259634700,SPY
2010-02-26,83.33026123046875,110.73999786376953,111.12000274658203,110.11000061035156,110.7699966430664,173589300,SPY
2010-03-01,84.19563293457031,111.88999938964844,112.0,111.16999816894531,111.19999694824219,147709700,SPY
2010-03-02,84.42887878417969,112.19999694824219,112.73999786376953,112.0,112.37000274658203,160992400,SPY
2010-03-03,84.504150390625,112.30000305175781,112.97000122070312,112.0199966430664,112.48999786376953,150785000,SPY
2010-03-04,84.760009765625,112.63999938964844,112.80000305175781,112.02999877929688,112.44999694824219,135770400,SPY
2010-03-05,85.97148132324219,114.25,114.33999633789062,113.0999984741211,113.37000274658203,176118800,SPY
2010-03-08,85.98651123046875,114.2699966430664,114.5199966430664,114.06999969482422,114.26000213623047,114631200,SPY
2010-03-09,86.12950897216797,114.45999908447266,114.98999786376953,113.87000274658203,113.93000030517578,154556700,SPY
2010-03-10,86.5132827758789,114.97000122070312,115.27999877929688,114.41000366210938,114.51000213623047,186088800,SPY
2010-03-11,86.87446594238281,115.44999694824219,115.4800033569336,114.3499984741211,114.69999694824219,160791100,SPY
2010-03-12,86.88199615478516,115.45999908447266,115.97000122070312,115.13999938964844,115.94999694824219,162074800,SPY
2010-03-15,86.90457153320312,115.48999786376953,115.56999969482422,114.5999984741211,115.26000213623047,146816800,SPY
2010-03-16,87.59686279296875,116.41000366210938,116.5199966430664,115.48999786376953,115.80999755859375,168673000,SPY
2010-03-17,88.1160659790039,117.0999984741211,117.4800033569336,116.41999816894531,116.76000213623047,177468100,SPY
2010-03-18,88.07090759277344,117.04000091552734,117.2699966430664,116.56999969482422,117.11000061035156,196509100,SPY
2010-03-19,87.62516021728516,115.97000122070312,117.29000091552734,115.5199966430664,115.97000122070312,226641100,SPY
2010-03-22,88.0936050415039,116.58999633789062,116.80000305175781,115.23999786376953,115.30999755859375,184477800,SPY
2010-03-23,88.71316528320312,117.41000366210938,117.51000213623047,116.37999725341797,116.76000213623047,182941600,SPY
2010-03-24,88.2824935913086,116.83999633789062,117.43000030517578,115.58000183105469,116.97000122070312,196072600,SPY
2010-03-25,88.13893127441406,116.6500015258789,118.16999816894531,116.51000213623047,117.62999725341797,223396300,SPY
2010-03-26,88.08599853515625,116.58000183105469,117.41999816894531,116.12000274658203,116.87000274658203,205808500,SPY
2010-03-29,88.64517211914062,117.31999969482422,117.52999877929688,116.69000244140625,117.16999816894531,134513500,SPY
2010-03-30,88.70559692382812,117.4000015258789,117.83000183105469,116.91000366210938,117.45999908447266,145772500,SPY
2010-03-31,88.4034194946289,117.0,117.5199966430664,116.61000061035156,116.94999694824219,161078700,SPY
2010-04-01,89.00786590576172,117.80000305175781,118.25,117.0999984741211,117.80000305175781,161215200,SPY
2010-04-05,89.73323059082031,118.76000213623047,118.83999633789062,117.91999816894531,118.25,105847600,SPY
2010-04-06,89.94475555419922,119.04000091552734,119.25,118.29000091552734,118.41999816894531,110384200,SPY
